ORD	RDU	646
ORD	RIC	641
ORD	ROA	530
ORD	ROC	526
ORD	SMF	1778
MBS	ORD	221
ORD	SLC	1247
ORD	SAT	1043
ORD	SAN	1721
ORD	SFO	1843
ORD	SJC	1827
ORD	SJO	2223
ORD	SJU	2076
GRU	ORD	5242
ORD	SAV	774
ORD	SEA	1717
ICN	ORD	6543
ORD	PVG	7050
ORD	SIN	9361
FSD	ORD	461
ORD	SBN	83
GEG	ORD	1495
ORD	SPI	174
ORD	SGF	438
ORD	STL	258
ORD	STT	2119
ARN	ORD	4264
ORD	SYD	9244
ORD	SYR	605
ORD	TPA	1014
NRT	ORD	6266
ORD	YYZ	435
ORD	TVC	223
ORD	TUL	585
ORD	YVR	1761
IAD	ORD	588
DCA	ORD	611
CWA	ORD	212
ORD	PBI	1146
HPN	ORD	737
ICT	ORD	587
AVP	ORD	630
ORD	YWG	707
CIC	SFO	153
AKL	CHC	463
CHC	SYD	1322
CVG	ORD	264
CVG	MCI	666
CVG	MSY	1103
CVG	OMA	679
CVG	SMF	2042
CVG	SJC	2091
ABQ	CLE	1409
CLE	ORD	315
CLE	DEN	1199
CLE	DSM	613
CLE	MCI	717
CLE	OAK	2148
CLE	PHX	1753
CLE	PDX	2042
CLE	SMF	2093
CLE	SFO	2158
CLE	SEA	2017
CLE	STL	573
CLE	YYZ	193
CLE	IAD	288
COD	DEN	392
CGN	FRA	85
CGN	LHR	332
CGN	MUC	271
BWI	COS	1501
COS	ORD	909
COS	DEN	72
COS	MCI	537
COS	LAS	603
COS	LAX	833
COS	MSP	724
COS	PHL	1570
COS	SLC	410
COS	SFO	962
COS	TUS	580
CAE	ORD	667
CAE	IAD	401
CLT	CMH	347
CMH	ORD	295
CMH	DEN	1152
CMH	DSM	593
CMH	IAH	1222
CMH	MCI	697
CMH	MSP	628
CMH	OMA	710
CMH	ONT	1947
CMH	PHL	405
CMH	RNO	1947
CMH	SLC	1526
CMH	SAN	2016
CMH	SJC	2098
CMH	STL	553
CMH	YYZ	304
CMH	IAD	299
AMS	CPH	394
BGO	CPH	422
BRU	CPH	469
CPH	ORD	4263
CPH	FRA	422
CPH	GVA	708
CPH	GOT	141
CPH	HAM	174
CPH	HEL	554
CPH	LHR	609
CPH	EWR	3860
CPH	OSL	322
CDG	CPH	624
CPH	SEA	4858
CPH	SVG	345
ARN	CPH	340
CPH	STR	500
CPH	VIE	545
CPH	WAW	414
CPH	IAD	4067
CPH	ZRH	591
CEZ	DEN	277
ACV	CEC	55
CEC	SMF	254
CEC	SFO	304
CWB	GRU	223
BUR	DFW	1230
CLT	DFW	935
DFW	ORD	802
DAY	DFW	1042
DEN	DFW	641
DFW	FRA	5136
DFW	MDT	1395
BDL	DFW	1469
DFW	LAS	1054
DFW	LHR	4747
DFW	LAX	1233
DFW	ONT	1187
DFW	MCO	1809
DFW	PHL	1301
DFW	PIT	1067
DFW	PVD	1649
DFW	RIC	1443
DFW	ROC	1328
DFW	SFO	1463
DFW	SJC	1437
DFW	YYZ	1199
DFW	IAD	1170
DAY	ORD	240
DAY	MSP	573
DAY	OMA	655
DAY	SAT	1283
DAY	STL	498
DAY	IAD	367
DEL	FRA	3807
ALS	DEN	179
ABQ	DEN	349
AMA	DEN	359
AMS	DEN	4803
ANC	DEN	2403
ASE	DEN	125
ATL	DEN	1198
AUS	DEN	776
BWI	DEN	1488
BKK	DEN	8390
DEN	PEK	6339
BIL	DEN	455
BIS	DEN	517
BOI	DEN	648
BOS	DEN	1751
BZN	DEN	524
BRU	DEN	4856
BUR	DEN	849
DEN	YYC	899
CPR	DEN	230
CID	DEN	691
CDR	DEN	221
CLT	DEN	1335
CYS	DEN	90
DEN	ORD	886
CLE	DEN	1199
COD	DEN	392
COS	DEN	72
CMH	DEN	1152
CEZ	DEN	277
DEN	DFW	641
DEN	DSM	588
DEN	DTW	1121
DEN	DIK	488
DDC	DEN	291
DEN	DRO	250
DEN	YEG	1020
DEN	ELP	565
DEN	EUG	995
DEN	FAR	627
DEN	FMN	289
DEN	FRA	5222
DEN	FAT	843
DEN	GCK	250
DEN	GCC	313
DEN	GRI	343
DEN	GJT	212
DEN	GUC	152
DEN	MDT	1479
BDL	DEN	1667
DEN	HDN	141
DEN	HYS	296
DEN	HKG	7481
DEN	HNL	3364
DEN	IAH	862
DEN	IND	974
DEN	JAC	406
DEN	MCI	531
DEN	EAR	304
DEN	LAR	113
DEN	LAS	628
DEN	LBL	279
DEN	LIH	3413
DEN	LNK	422
DEN	LHR	4831
DEN	LAX	861
DEN	MSN	824
DEN	MCK	217
DEN	MFR	962
DEN	MEM	871
DEN	MEX	1451
DEN	MIA	1709
DEN	MKE	894
DEN	MSP	679
DEN	MSO	679
CNY	DEN	282
DEN	MLI	750
DEN	MTJ	196
DEN	MUC	5216
BNA	DEN	1012
DEN	MSY	1062
DEN	LGA	1616
DEN	EWR	1602
DEN	OFK	405
DEN	LBF	227
DEN	OAK	956
DEN	OKC	494
DEN	OMA	471
DEN	ONT	818
DEN	SNA	845
DEN	MCO	1545
DEN	PGA	419
DEN	PSP	775
DEN	PSC	852
DEN	PHL	1555
DEN	PHX	602
DEN	PIR	385
DEN	PIT	1287
DEN	PDX	990
DEN	PUB	108
DEN	RAP	301
DEN	RNO	803
DEN	RIW	296
DEN	RKS	259
DEN	SMF	908
DEN	SLC	390
DEN	SAT	795
DEN	SAN	853
DEN	SFO	966
DEN	SJC	947
DEN	SBA	915
DEN	SAF	303
BFF	DEN	150
DEN	SEA	1023
DEN	SHR	359
DEN	FSD	483
DEN	GEG	835
DEN	SGF	635
DEN	STL	768
DEN	TPA	1506
DEN	TEX	218
DEN	NRT	5780
DEN	YYZ	1313
DEN	TUS	639
DEN	TUL	540
DEN	EGE	120
DEN	YVR	1113
DEN	VEL	259
DEN	IAD	1450
DCA	DEN	1497
DEN	ICT	418
DEN	ISN	577
DEN	YWG	783
DEN	WRL	330
ABQ	DSM	832
DSM	ORD	298
CLE	DSM	613
CMH	DSM	593
DEN	DSM	588
DSM	DTW	532
DSM	GRR	434
BDL	DSM	1079
DSM	LAS	1216
DSM	ONT	1406
DSM	PHX	1190
DSM	PDX	1578
DSM	SMF	1496
ABQ	DTW	1345
CLT	DTW	501
DTW	ORD	234
DEN	DTW	1121
DSM	DTW	532
DTW	FRA	4154
DTW	IAH	1161
DTW	LAS	1746
DTW	LAX	1977
DTW	OAK	2077
DTW	OMA	649
DTW	ONT	1939
DTW	SNA	1966
DTW	PHL	452
DTW	PDX	2111
DTW	SLC	1511
DTW	GRU	5476
DTW	STL	492
DTW	YYZ	213
DTW	IAD	383
DEN	DIK	488
DDC	DEN	291
DRS	FRA	240
DXB	FRA	3012
DUB	LHR	279
DUB	PHL	3267
AKL	DUD	661
DEN	DRO	250
DUS	ORD	4222
DUS	FRA	117
DUS	LHR	311
DUS	MUC	302
DUS	EWR	3755
CDG	DUS	243
EDI	LHR	331
EDI	MAN	184
DEN	YEG	1020
DEN	ELP	565
DEN	EUG	995
EUG	PDX	105
EUG	SFO	452
ACV	CEC	55
ACV	SMF	206
ACV	SFO	250
FAR	ORD	556
DEN	FAR	627
DEN	FMN	289
CLT	FAY	117
FLR	MUC	315
CLT	FLO	99
MUC	PSA	329
FLN	POA	225
FLN	GRU	320
CLT	RSW	602
ORD	RSW	1123
PHL	RSW	995
PIT	RSW	969
FWA	ORD	156
FOR	GRU	1459
ACC	FRA	3115
ADD	FRA	3327
ALY	FRA	1707
ALA	FRA	3165
AMM	FRA	1893
AMS	FRA	227
ASB	FRA	2559
ASM	FRA	2942
ATL	FRA	4608
BAK	FRA	2094
BLR	FRA	4615
BKK	FRA	5579
FRA	TXL	268
BOS	FRA	3663
BRE	FRA	208
BRU	FRA	189
BUD	FRA	519
CAI	FRA	1818
FRA	MAA	4723
FRA	ORD	4336
CGN	FRA	85
CPH	FRA	422
DFW	FRA	5136
DEL	FRA	3807
DEN	FRA	5222
DTW	FRA	4154
DRS	FRA	240
DXB	FRA	3012
DUS	FRA	117
FRA	GVA	286
FRA	GRZ	378
FRA	HAM	256
FRA	HAJ	174
FRA	HEL	956
FRA	IAH	5226
FRA	IST	1158
FRA	JNB	5405
FRA	KTW	465
FRA	KBP	985
FRA	KWI	2500
FRA	LOS	3021
FRA	LEJ	187
FRA	LIS	1165
FRA	LHR	407
FRA	LAX	5798
FRA	LYS	338
FRA	MLA	1024
FRA	MAN	517
FRA	MRS	483
FRA	MIA	4829
FRA	MXP	304
FRA	MSP	4669
BOM	FRA	4085
FRA	MUC	186
FRA	MCT	3221
FRA	JFK	3850
EWR	FRA	3863
FRA	NCE	445
FRA	NUE	117
FRA	MCO	4740
FRA	OSL	710
CDG	FRA	279
FRA	PHL	3943
FRA	PHX	5630
FRA	PDX	5217
FRA	OPO	1028
FRA	PRG	252
FRA	RIX	790
FRA	SFO	5690
FRA	SEA	5099
FRA	SOF	868
ARN	FRA	760
FRA	STR	97
FRA	TLV	1836
FRA	VCE	359
FRA	VRN	338
FRA	VIE	385
FRA	WAW	557
FRA	IAD	4074
FRA	ZRH	178
CLT	FPO	613
FPO	PHL	942
DEN	FAT	843
FAT	LAS	258
FAT	LAX	209
FAT	PSP	272
FAT	SFO	157
BDA	FLL	1029
CLT	FLL	634
FLL	ORD	1185
DFW	FLL	1987
FLL	LAS	2697
FLL	NAS	181
FLL	PHL	995
FLL	PIT	997
FLL	SMF	2963
DCA	FLL	902
FUK	KIX	280
FUK	NRT	584
CLT	GNV	389
DEN	GCK	250
CPH	GVA	708
FRA	GVA	286
GOA	MUC	306
DEN	GCC	313
GLA	LHR	344
GLA	MAN	194
CPH	GOT	141
GOT	LHR	664
ARN	GOT	244
CLT	GCM	1101
GCM	PHL	1469
DEN	GRI	343
GRI	OFK	83
DEN	GJT	212
GRR	ORD	136
DFW	GRR	938
GRR	MCI	538
GRR	MSP	469
GRR	OMA	551
GRR	PHX	1574
GRR	SAN	1857
GRR	SEA	1853
FRA	GRZ	378
GRZ	VIE	93
GRB	ORD	173
CLT	GSO	83
GSO	ORD	590
GSO	IAH	1517
GSO	MSP	923
GSO	PHL	365
GSO	IAD	239
CLT	PGV	202
GSP	ORD	578
GSP	IAD	384
GND	PHL	2095
GDL	ORD	1735
GDL	LAX	1309
GDL	OAK	1642
GDL	SFO	1644
GDL	SJC	1614
GUM	KIX	1567
GUA	LAX	2196
GUA	MEX	657
GUA	SFO	2518
GUA	SJO	532
DEN	GUC	152
BOS	YHZ	413
EWR	YHZ	613
YHZ	YYZ	801
BRU	HAM	299
CPH	HAM	174
FRA	HAM	256
HAM	LHR	463
HAM	MUC	373
FRA	HAJ	174
HAJ	MUC	298
CLT	MDT	413
MDT	ORD	593
DFW	MDT	1395
DSM	MDT	891
IAH	MDT	1520
MDT	PIT	184
MDT	SAT	1636
IAD	MDT	93
BDL	CLT	644
BDL	ORD	781
BDL	DFW	1469
BDL	LAS	2293
BDL	LAX	2524
BDL	OAK	2610
BDL	SNA	2505
BDL	PHL	195
BDL	PIT	405
BDL	PDX	2517
BDL	SAN	2502
BDL	SEA	2498
BDL	IAD	325
DEN	HDN	141
DEN	HYS	296
CPH	HEL	554
FRA	HEL	956
HEL	MUC	979
ARN	HEL	247
HNL	ITO	216
BKK	SGN	461
NRT	SGN	2726
HKG	ORD	7789
DEN	HKG	7481
HKG	LAX	7255
EWR	HKG	8061
HKG	SFO	6922
HKG	NRT	1842
HKG	IAD	8149
AKL	HNL	4409
HNL	ORD	4241
DEN	HNL	3364
HNL	ITO	216
HNL	OGG	100
HNL	JHM	84
HNL	KOA	163
HNL	LNY	72
HNL	LAS	2762
HNL	LIH	101
HNL	LHR	7232
HNL	LAX	2555
HNL	SNA	2583
HNL	KIX	4114
HNL	SFO	2399
HNL	SYD	5082
HNL	NRT	3816
HNL	YVR	2708
ABQ	IAH	744
BUR	IAH	1376
IAH	YYC	1749
CLT	IAH	912
IAH	ORD	927
DEN	IAH	862
FRA	IAH	5226
IAH	LGA	1659
IAH	OAK	1818
IAH	PHL	1324
IAH	PIT	1118
IAH	SLC	1252
IAH	SFO	1634
IAH	SJC	1809
IAH	TPA	1941
IAH	YYZ	1281
IAD	IAH	1515
CLT	HSV	332
IPL	LAX	180
IPL	SAN	93
BIL	IND	1200
CLT	IND	427
IND	ORD	177
COS	IND	985
DFW	IND	979
DEN	IND	974
IND	OMA	592
IND	PHL	587
IND	PIT	325
IND	SLC	1424
IND	SFO	2020
IND	SEA	1894
IAD	IND	475
